ts_entrada,activo,nesting,combo,coste,n_shares,coste_total_usd,ask_leg1,ask_leg2,gap_opens_pct,depth_usd,min_orden_ok,end_utc,inner_slug,outer_slug,status,ts_cierre,gano_leg1,gano_leg2,payout_por_share,pnl_usd,garantia_ok,pasa_filtro,persistio_ciclo_anterior,o_inner,o_outer,o_inner_chainlink,o_outer_chainlink
2026-07-05T17:55:03+00:00,BTC,5min15m,NOout+YESin,0.88,11.36,9.9968,0.34,0.54,-0.0006,54.18,1,2026-07-05T18:00:00+00:00,btc-updown-5m-1783274100,btc-updown-15m-1783273500,OPEN,,,,,,,,,,,,
2026-07-05T18:10:02+00:00,SOL,5min15m,NOout+YESin,0.87,11.49,9.9963,0.24,0.63,-0.0123,22.8,1,2026-07-05T18:15:00+00:00,sol-updown-5m-1783275000,sol-updown-15m-1783274400,OPEN,,,,,,,,,,,,
2026-07-05T18:54:02+00:00,SOL,15min60m,NOout+YESin,0.81,12.35,10.0035,0.15,0.66,-0.0246,30.0,1,2026-07-05T19:00:00+00:00,sol-updown-15m-1783277100,solana-up-or-down-july-5-2026-2pm-et,OPEN,,,,,,,,,,,,
2026-07-05T18:55:04+00:00,SOL,5min15m,YESout+NOin,0.96,10.42,10.0032,0.45,0.51,0.0863,15.81,1,2026-07-05T19:00:00+00:00,sol-updown-5m-1783277700,sol-updown-15m-1783277100,OPEN,,,,,,,,,,,,
2026-07-05T19:11:03+00:00,XRP,5min15m,NOout+YESin,0.94,10.64,10.0016,0.6,0.34,-0.0264,16.64,1,2026-07-05T19:15:00+00:00,xrp-updown-5m-1783278600,xrp-updown-15m-1783278000,OPEN,,,,,,,,,,,,
2026-07-05T19:12:02+00:00,BTC,5min15m,NOout+YESin,0.88,11.36,9.9968,0.38,0.5,-0.0361,11.31,1,2026-07-05T19:15:00+00:00,btc-updown-5m-1783278600,btc-updown-15m-1783278000,OPEN,,,,,,,,,,,,
2026-07-05T19:41:02+00:00,BTC,5min15m,NOout+YESin,0.89,11.24,10.0036,0.39,0.5,-0.0088,159.32,1,2026-07-05T19:45:00+00:00,btc-updown-5m-1783280400,btc-updown-15m-1783279800,OPEN,,,,,,,,,,,,
2026-07-05T19:47:02+00:00,SOL,15min60m,NOout+YESin,0.96,10.42,10.0032,0.46,0.5,-0.0185,14.73,1,2026-07-05T20:00:00+00:00,sol-updown-15m-1783280700,solana-up-or-down-july-5-2026-3pm-et,OPEN,,,,,,,,,,,,
2026-07-05T19:58:03+00:00,SOL,5min15m,YESout+NOin,0.62,16.13,10.0006,0.37,0.25,0.0309,11.78,1,2026-07-05T20:00:00+00:00,sol-updown-5m-1783281300,sol-updown-15m-1783280700,OPEN,,,,,,,,,,,,
2026-07-05T20:25:03+00:00,SOL,5min15m,YESout+NOin,0.96,10.42,10.0032,0.5,0.46,0.0617,15.94,1,2026-07-05T20:30:00+00:00,sol-updown-5m-1783283100,sol-updown-15m-1783282500,CLOSED,2026-07-05T20:32:01+00:00,0,1,1,0.4168,1,,,,,,
